Feature,Frequency,Frequency %
Display-Screen Size,12429,98.99641577060932
Camera-Main camera Resolution,12343,98.31142970927917
Battery-Capacity,12342,98.30346475507767
Display-Pixel Density,12246,97.53882915173237
Display-Display Type,12134,96.64675428116288
Camera-Flash,9580,76.3042612504978
Performance-RAM,9160,72.9589804858622
Performance-CPU,8830,70.33054559936281
Camera-Front camera Resolution,8629,68.72958980485862
Performance-Chipset,7235,57.626443647949024
Battery-USB Type-C,4297,34.22540820390283
Battery-Removable,4165,33.17403424930306
Battery-Quick Charging,2857,22.755874153723614
Display-Refresh Rate,1835,14.61569095977698
Battery-Type,1589,12.6563122262047
Battery-Wireless Charging,425,3.38510553564317
Display-,85,0.6770211071286341
Battery-TalkTime,32,0.25487853444842695
Camera-OIS,28,0.22301871764237358
Camera-Camera Features,18,0.14336917562724014
Camera-Autofocus,13,0.10354440461967343
Display-Brightness,8,0.06371963361210674
Camera-Camera Setup,6,0.04778972520908004
Camera-Resolution,6,0.04778972520908004
Battery-Standby time,4,0.03185981680605337
Camera-Sensor,3,0.02389486260454002
Network & Connectivity-USB Connectivity,1,0.007964954201513342
Performance-,1,0.007964954201513342
Performance-Graphics,1,0.007964954201513342
