Feature,Frequency,Frequency %
डिसप्ले-स्क्रीन साइज़,7235,99.4228390820393
बैटरी-क्षमता,7195,98.87316201731483
डिसप्ले-डिसप्ले टाइप,7165,98.46090421877147
परफॉर्मेंस-रैम,6094,83.74330081077368
कैमरा-रेजल्यूशन,5985,82.24543080939948
परफॉर्मेंस-प्रोसेसर,5939,81.61330218496633
परफॉर्मेंस-चिपसेट,5187,71.27937336814621
कैमरा-फ्लैश,4820,66.23608629929916
कैमरा-कैमरा सेटअप,4271,58.69176858595575
बैटरी-यूजर रिप्लेसेबल,3637,49.97938711007283
बैटरी-टाइप,2357,32.389721038889654
बैटरी-क्विक चार्जिंग,2297,31.56520544180294
डिसप्ले-आस्पेक्ट रेशियो,1358,18.661536347395906
कैमरा-वीडियो रिकॉर्डिंग,933,12.821217534698365
कैमरा-सेटिंग,531,7.296963034217398
डिसप्ले-पिक्सल डेनसिटी,459,6.307544317713343
बैटरी-वायरलेस चार्जिंग,397,5.455544867390408
कैमरा-सेंसर,327,4.493610004122578
कैमरा-इमेज रेजल्यूशन,218,2.9957400027483856
कैमरा-फीजिकल अपर्चर,153,2.1025147725711144
डिसप्ले-स्क्रीन प्रोटेक्शन,126,1.7314827538820945
कैमरा-ऑटोफोकस,94,1.2917411021025147
कैमरा-कैमरा फीचर्स,67,0.9207090834134947
डिसप्ले-स्क्रीन टू बॉडी रेशियो (कैलकुलेटेड),31,0.42599972516146767
डिसप्ले-स्क्रीन रेजल्यूशन,27,0.3710320186890202
कैमरा-शूटिंग मोड्स,16,0.21987082588978976
डिसप्ले-डिसप्ले कलर,15,0.2061288992716779
डिसप्ले-स्क्रीन टू बॉडी रेशियो (ब्रांड के अनुसार),12,0.16490311941734231
कैमरा-वीडियो रिकॉर्डिंग फीचर्स,12,0.16490311941734231
डिसप्ले-टच स्क्रीन,10,0.1374192661811186
बैटरी-टॉकटाइम,9,0.12367733956300674
कैमरा-कैमरा विशेषताएँ,8,0.10993541294489488
बैटरी-स्टैंडबाई टाइम,5,0.0687096330905593
परफॉर्मेंस-आर्किटेक्चर,1,0.01374192661811186
