Feature,Frequency,Frequency %
டிஸ்ப்ளே-சிகிரீன் சைஸ்,7243,99.42347288949897
பேட்டரி-கேபாஸிட்டி,7203,98.87439945092656
டிஸ்ப்ளே-டிஸ்பிலே வகை,7168,98.3939601921757
கேமரா-ரெசொலூஷன்,5849,80.28826355525052
கேமரா-பிளாஷ்,4856,66.65751544269047
பேட்டரி-வகை,3006,41.26286890871654
கேமரா-கேமரா அமைப்பு,2970,40.76870281400137
கேமரா-ஆட்டோபோக்ஸ்,2700,37.06245710363761
பேட்டரி-குயிக் சார்ஜிங்,1517,20.823610157858614
டிஸ்ப்ளே-டச் சிகிரீன்,1392,19.107755662319835
கேமரா-வீடியோ ரெகார்டிங்,995,13.658201784488675
பேட்டரி-வயர்லெஸ் சார்ஜிங்,376,5.161290322580645
கேமரா-ஆப்டிகல் இமேஜ் ஸ்டாபிளிஸ்ட்டின்,361,4.955387783115992
டிஸ்ப்ளே-பிஸேல் டென்சிட்டி,294,4.035689773507207
கேமரா-சென்சார்,242,3.3218943033630746
பேட்டரி-உசேர் ரெப்ளஸாப்ளே,224,3.0748112560054905
கேமரா-அபேர்டுரே,224,3.0748112560054905
டிஸ்ப்ளே-சிகிரீன் ரெசொலூஷன்,204,2.8002745367192863
பேட்டரி-டாக் டைம்,140,1.9217570350034316
கேமரா-செட்டிங்ஸ்,63,0.8647906657515444
கேமரா-இமேஜ் ரெசொலூஷன்,59,0.8098833218943033
கேமரா-ஷூட்டிங் மோசே,14,0.19217570350034316
கேமரா-கேமரா அம்சங்கள்,12,0.16472203157172272
டிஸ்ப்ளே-புலன் விகிதம்,9,0.12354152367879204
கேமரா-வீடியோ ரெகார்டிங் அம்சங்கள்,6,0.08236101578586136
