Feature,Frequency,Frequency %
Network & Connectivity-Network Support,12555,100.0
Key Specs-Display,12555,100.0
Network & Connectivity-SIM Slot(s),12545,99.92035045798487
Network & Connectivity-Bluetooth,12496,99.53006770211071
Storage-Expandable Memory,12476,99.37076861808045
Display-Screen Size,12440,99.08403026682596
Network & Connectivity-SIM 1,12432,99.02031063321385
Battery-Type,12386,98.65392273994425
Camera-MAIN CAMERA,12354,98.39904420549583
Key Specs-Rear Camera,12354,98.39904420549583
Key Specs-Battery,12353,98.3910792512943
Battery-Capacity,12353,98.3910792512943
Display-Resolution,12350,98.36718438868976
Display-Display Type,12294,97.92114695340501
Display-Pixel Density,12266,97.69812823576265
Design-Colours,11772,93.76344086021506
Multimedia-Loudspeaker,11119,88.56232576662684
Network & Connectivity-SIM 2,10554,84.0621266427718
Multimedia-Audio Jack,9943,79.19553962564714
Network & Connectivity-Wi-Fi,9883,78.71764237355634
Storage-Internal Memory,9698,77.24412584627638
Multimedia-FM Radio,9185,73.15810434090004
Key Specs-RAM,9168,73.02270011947431
Performance-RAM,9168,73.02270011947431
Display-Touch Screen,9137,72.7757865392274
Design-Height,9026,71.89167662285942
Design-Thickness,9026,71.89167662285942
Design-Width,9025,71.8837116686579
Network & Connectivity-USB Connectivity,8947,71.26244524093987
General-Operating System,8856,70.53763440860214
Performance-CPU,8845,70.45001991238551
Display-Screen to Body Ratio (calculated),8829,70.3225806451613
Key Specs-Front Camera,8642,68.8331342094783
Camera-FRONT CAMERA,8639,68.80923934687375
Sensors-Other Sensors,8624,68.68976503385106
Network & Connectivity-GPS,8311,66.19673436877737
Design-Weight,7711,61.41776184786938
Battery-Removable,7589,60.44603743528475
Network & Connectivity-Wi-Fi Features,7386,58.82915173237754
Performance-Chipset,7283,58.00876144962166
Key Specs-Processor,7283,58.00876144962166
Performance-Graphics,6980,55.595380326563124
Network & Connectivity-SIM Size,6664,53.07845479888491
Sensors-Fingerprint Sensor,6530,52.01115093588212
Battery-USB Type-C,6325,50.378335324571886
General-Launch Date,5404,43.042612504978095
Performance-Architecture,5116,40.74870569494225
Network & Connectivity-VoLTE,4873,38.813221823974516
Network & Connectivity-NFC,4855,38.669852648347266
Sensors-Fingerprint Sensor Position,4514,35.95380326563122
Battery-TalkTime,4400,35.045798486658704
Display-Bezel-less display,4128,32.87933094384707
Battery-Standby time,3972,31.636798088410988
Multimedia-Music,3841,30.593389088012746
Sensors-Phone Book,3838,30.569494225408206
Display-Aspect Ratio,3672,29.24731182795699
Sensors-Other Facilities,3383,26.945440063719634
Battery-Quick Charging,3337,26.57905217045002
Storage-USB OTG,3307,26.34010354440462
Performance-Fabrication,3113,24.79490242931103
General-Custom UI,3090,24.611708482676224
Sensors-Browser,3033,24.157706093189965
Multimedia-Ring Tone,2842,22.636399840700918
Display-Screen Protection,2801,22.30983671843887
Sensors-Games,2777,22.11867781760255
Performance-RAM Type,2756,21.951413779370768
Multimedia-Video Player,2692,21.441656710473914
Storage-Storage Type,2183,17.387495021903625
Design-Build Material,2179,17.35563520509757
Multimedia-Special Features,1950,15.531660692951016
Display-Refresh Rate,1839,14.647550776583035
Sensors-SMS,1610,12.823576264436479
Design-Waterproof,1359,10.824372759856631
Network & Connectivity-SAR Value,1354,10.784547988849063
Display-Screen to Body Ratio (claimed by the brand),1320,10.51373954599761
Display-Brightness,1263,10.05973715651135
Storage-User Available Storage,1220,9.717244125846277
Sensors-Java,1015,8.084428514536041
Sensors-Fingerprint Sensor Type,975,7.765830346475508
Design-Ruggedness,913,7.2720031859816805
Sensors-MMS,813,6.475507765830346
Multimedia-Audio Features,762,6.069295101553166
Display-HDR 10 / HDR+ support,705,5.615292712066906
Sensors-Applications,640,5.097570688968538
Display-Display Colour,552,4.396654719235364
Battery-Wireless Charging,513,4.086021505376344
Network & Connectivity-Wi-Fi Calling,435,3.464755077658303
Sensors-Email,315,2.5089605734767026
Multimedia-Stereo Speakers,284,2.262046993229789
Sensors-Instant Messaging,201,1.6009557945041817
Network & Connectivity-HDMI,199,1.585025886101155
Sensors-Heart Rate Monitor,77,0.6133014735165272
Network & Connectivity-SIM 3,69,0.5495818399044206
Performance-Co-Processor,65,0.5177220230983672
Network & Connectivity-Mobile High-Definition Link(MHL),59,0.4699322978892871
Sensors-Stylus,40,0.31859816806053365
Network & Connectivity-Infrared Sensor,27,0.21505376344086022
Sensors-IRIS Scanner,23,0.18319394663480684
Sensors-Fingerprint Sensor Customization,6,0.04778972520908004
