Feature,Frequency,Frequency %
नेटवर्क और कनेक्टिविटी-नेटवर्क सपोर्ट,7267,99.86258073381889
खास स्पेसिफिकेशन-डिसप्ले,7253,99.67019376116532
नेटवर्क और कनेक्टिविटी-ब्लूटूथ,7246,99.57400027483854
डिसप्ले-स्क्रीन रेजल्यूशन,7243,99.5327744949842
नेटवर्क और कनेक्टिविटी-सिम 1,7239,99.47780678851174
डिसप्ले-स्क्रीन साइज़,7235,99.4228390820393
बैटरी-टाइप,7215,99.14800054967706
डिसप्ले-पिक्सल डेनसिटी,7212,99.10677476982272
खास स्पेसिफिकेशन-मेन कैमरा,7201,98.9556135770235
कैमरा-मेन कैमरा,7201,98.9556135770235
बैटरी-क्षमता,7195,98.87316201731483
खास स्पेसिफिकेशन-बैटरी,7195,98.87316201731483
डिसप्ले-डिसप्ले टाइप,7190,98.80445238422428
नेटवर्क और कनेक्टिविटी-सिम 2,6532,89.76226466950666
डिज़ाइन-रंग,6450,88.63542668682149
मल्टीमीडिया-ऑडियो जैक,6388,87.78342723649855
स्टोरेज-इंटरनल मैमोरी,6230,85.61220283083688
परफॉर्मेंस-रैम,6094,83.74330081077368
खास स्पेसिफिकेशन-रैम,6094,83.74330081077368
डिसप्ले-टच स्क्रीन,6031,82.87755943383263
नेटवर्क और कनेक्टिविटी-वाई-फाई,6013,82.63020475470661
जनरल-ऑपरेटिंग सिस्टम,5972,82.06678576336402
नेटवर्क और कनेक्टिविटी-यूएसबी कनेक्टिविटी,5957,81.86065686409233
परफॉर्मेंस-प्रोसेसर,5940,81.62704411158444
खास स्पेसिफिकेशन-फ्रंट कैमरा,5899,81.06362512024185
कैमरा-फ्रंट कैमरा,5897,81.03614126700563
खास फीचर्स-अन्य सेंसर,5885,80.87123814758829
नेटवर्क और कनेक्टिविटी-जीपीएस,5737,78.83743300810774
डिज़ाइन-मोटाई,5735,78.80994915487152
डिज़ाइन-ऊंचाई,5733,78.78246530163528
डिज़ाइन-चौड़ाई,5732,78.76872337501717
बैटरी-यूजर रिप्लेसेबल,5412,74.37130685722138
मल्टीमीडिया-लाउडस्पीकर,5351,73.53304933351656
नेटवर्क और कनेक्टिविटी-वाई-फाई फीचर्स,5330,73.24446887453621
डिसप्ले-स्क्रीन टू बॉडी रेशियो (कैलकुलेटेड),5317,73.06582382850075
खास स्पेसिफिकेशन-प्रोसेसर,5194,71.37556685447299
परफॉर्मेंस-चिपसेट,5194,71.37556685447299
डिज़ाइन-वजन,5103,70.12505153222482
नेटवर्क और कनेक्टिविटी-सिम साइज़,4888,67.17053730933077
परफॉर्मेंस-ग्राफिक्स,4742,65.16421602308644
जनरल-लॉन्च डेट,4368,60.024735467912606
मल्टीमीडिया-एफएम रेडियो,4119,56.60299574000275
परफॉर्मेंस-आर्किटेक्चर,4094,56.259447574549945
खास फीचर्स-फिंगरप्रिंट सेंसर,3908,53.703449223581146
नेटवर्क और कनेक्टिविटी-वोल्ट,3897,53.55228803078192
खास फीचर्स-फिंगरप्रिंट सेंसर पोजीशन,3476,47.76693692455682
नेटवर्क और कनेक्टिविटी-एनएफसी,3034,41.69300535935138
