Feature,Frequency,Frequency %
நெட்ஒர்க் & இணைப்பு-நெட்ஒர்க் சப்போர்ட்,7275,99.8627316403569
முக்கிய விவரக்குறிப்புகள்-டிஸ்ப்ளே,7261,99.67055593685656
நெட்ஒர்க் & இணைப்பு-ப்ளூடூத்,7254,99.57446808510639
டிஸ்ப்ளே-சிகிரீன் ரெசொலூஷன்,7251,99.53328757721344
ஸ்டோரேஜ்-எஸ்பிண்டாப்ளே மெமரி,7250,99.51956074124915
நெட்ஒர்க் & இணைப்பு-சிம் 1,7247,99.4783802333562
டிஸ்ப்ளே-சிகிரீன் சைஸ்,7243,99.42347288949897
பேட்டரி-வகை,7223,99.14893617021276
டிஸ்ப்ளே-பிஸேல் டென்சிட்டி,7220,99.10775566231985
முக்கிய விவரக்குறிப்புகள்-முதன்மை கேமரா,7209,98.95676046671242
கேமரா-பின்பக்க கேமரா,7209,98.95676046671242
முக்கிய விவரக்குறிப்புகள்-பேட்டரி,7203,98.87439945092656
பேட்டரி-கேபாஸிட்டி,7203,98.87439945092656
டிஸ்ப்ளே-டிஸ்பிலே வகை,7194,98.75085792724776
நெட்ஒர்க் & இணைப்பு-சிம் 2,6538,89.74605353466026
மல்டிமீடியா-ஆடியோ ஜாக்,6396,87.7968428277282
ஸ்டோரேஜ்-இன்டெர்னல் மெமரி,6235,85.58682223747425
டிசைன்-கலர்,6200,85.1063829787234
பெர்ஃபார்மன்ஸ்-ரேம்,6097,83.69251887439944
முக்கிய விவரக்குறிப்புகள்-ரேம்,6097,83.69251887439944
டிஸ்ப்ளே-டச் சிகிரீன்,6036,82.85518188057652
நெட்ஒர்க் & இணைப்பு-வைஃபை,6021,82.64927934111186
ஜெனரல்-ஒப்பரேட்டிங் சிஸ்டம்,5977,82.04529855868222
நெட்ஒர்க் & இணைப்பு-யூஸ்பி கண்ணீகிட்டிவிட்டி,5960,81.81194234728895
பெர்ஃபார்மன்ஸ்-ப்ரோசிஸோர்,5955,81.7433081674674
முக்கிய விவரக்குறிப்புகள்-முன்பக்க கேமரா,5904,81.04323953328758
கேமரா-முன்பக்க கேமரா,5902,81.01578586135896
சிறப்பு அம்சங்கள்-மற்ற சென்சார்ஸ்,5890,80.85106382978722
டிசைன்-தடிமன்,5740,78.7920384351407
நெட்ஒர்க் & இணைப்பு-ஜிபிஸ்,5740,78.7920384351407
டிசைன்-உயரம்,5738,78.76458476321207
டிசைன்-அகலம்,5737,78.75085792724778
பேட்டரி-உசேர் ரெப்ளஸாப்ளே,5413,74.30336307481126
மல்டிமீடியா-லௌட் ஸ்பீக்கர்,5379,73.8366506520247
நெட்ஒர்க் & இணைப்பு-வைஃபை அம்சங்கள்,5333,73.20521619766643
டிஸ்ப்ளே-சிகிரீன் டு பாடிய ரேடியோ (கணக்கிடப்பட்டது),5311,72.90322580645162
முக்கிய விவரக்குறிப்புகள்-ப்ரோசிஸோர்,5187,71.20109814687714
பெர்ஃபார்மன்ஸ்-சிப்செட்,5187,71.20109814687714
டிசைன்-எடை,5108,70.11667810569664
நெட்ஒர்க் & இணைப்பு-சிம் சைஸ்,4885,67.05559368565545
பெர்ஃபார்மன்ஸ்-கிராபிக்ஸ்,4730,64.92793411118737
ஜெனரல்-லான்ச் தேதி,4356,59.79409746053535
மல்டிமீடியா-எப்எம் ரேடியோ,4147,56.92518874399452
பெர்ஃபார்மன்ஸ்-அர்ச்சிதேசதுரெ,4091,56.15648592999314
சிறப்பு அம்சங்கள்-பின்கேர்ப்ரின்ட் சென்சார்,3917,53.768016472203165
நெட்ஒர்க் & இணைப்பு-வோல்டி,3893,53.43857240905972
சிறப்பு அம்சங்கள்-பின்கேர்ப்ரின்ட் சென்சார் பொசிஷன்,3473,47.67330130404942
நெட்ஒர்க் & இணைப்பு-ன்பசி,3045,41.798215511324635
டிஸ்ப்ளே-புலன் விகிதம்,2974,40.82361015785862
பேட்டரி-குயிக் சார்ஜிங்,2686,36.870281400137266
ஜெனரல்-கஸ்டம் உ இ,2528,34.70144131777626
பேட்டரி-டாக் டைம்,2391,32.82086479066575
ஸ்டோரேஜ்-யுஸ்பி ஓடீஜி சப்போர்ட்,2313,31.750171585449554
பேட்டரி-ஸ்டாண்ட் பெய் டைம்,2006,27.536032944406312
டிசைன்-பில்ட் மடீரியல்,1841,25.271105010295123
டிஸ்ப்ளே-சிகிரீன் ப்ரொடெக்ஷன்,1653,22.690459849004803
டிஸ்ப்ளே-சிகிரீன் டு பாடிய ரேடியோ (பிராண்டால் உரிமை கோரப்பட்டது),1466,20.123541523678792
சிறப்பு அம்சங்கள்-போன் புக்,1427,19.58819492107069
மல்டிமீடியா-மியூசிக்,1408,19.327385037748797
சிறப்பு அம்சங்கள்-இதர பாசிலிட்டிஸ்,1299,17.831159917638985
நெட்ஒர்க் & இணைப்பு-சார் வேல்யூ,1211,16.623198352779685
மல்டிமீடியா-ரிங் டோன்,1179,16.183939601921757
சிறப்பு அம்சங்கள்-பிரௌசர்,1174,16.115305422100207
சிறப்பு அம்சங்கள்-கேம்ஸ்,1152,15.81331503088538
மல்டிமீடியா-வீடியோ பிளேயர்,1088,14.934797529169527
ஸ்டோரேஜ்-யூஸ்ர் அவைளப்பிலே மெமரி,1006,13.80919698009609
டிசைன்-வாட்டர்ப்ரூப்,916,12.57378174330817
மல்டிமீடியா-சிறப்பு அம்சங்கள்,742,10.185312285518187
மல்டிமீடியா-ஆடியோ அம்சங்கள்,696,9.553877831159918
டிசைன்-ருஜிகேட்னிஸ்,685,9.402882635552505
ஜெனரல்-ப்ராண்ட்,680,9.334248455730954
ஜெனரல்-மாடல்,678,9.306794783802333
ஜெனரல்-நெட்ஒர்க்,678,9.306794783802333
ஜெனரல்-சிம் ஸ்லோட்ஸ்,598,8.208647906657514
ஜெனரல்-பின்கேர்ப்ரின்ட் சென்சார்,479,6.575154426904599
சிறப்பு அம்சங்கள்-எஸ்.எம்.எஸ்,459,6.300617707618395
ஜெனரல்-சிம் சைஸ்,428,5.875085792724777
பேட்டரி-வயர்லெஸ் சார்ஜிங்,410,5.628002745367193
நெட்ஒர்க் & இணைப்பு-வைஃபை அழைப்பு,379,5.202470830473576
டிஸ்ப்ளே-டிஸ்பிலே கலர்,325,4.461221688400824
ஜெனரல்-குயிக் சார்ஜிங்,316,4.337680164722032
சிறப்பு அம்சங்கள்-ஜாவா,306,4.20041180507893
சிறப்பு அம்சங்கள்-அப்ப்ளிகேஷன்ஸ்,260,3.568977350720659
சிறப்பு அம்சங்கள்-எம்.எம்.எஸ்,200,2.7453671928620453
நெட்ஒர்க் & இணைப்பு-யூஸ்பி டயபெ சி,195,2.6767330130404945
சிறப்பு அம்சங்கள்-ஈமெயில்,177,2.42964996568291
நெட்ஒர்க் & இணைப்பு-ஹெச்டிஎம்ஐ,154,2.1139327385037747
சிறப்பு அம்சங்கள்-இன்ஸ்டன்ட் மெஸ்ஸாகிங்,116,1.5923129718599862
பெர்ஃபார்மன்ஸ்-கோ-ப்ரோசிஸோர்,55,0.7549759780370624
சிறப்பு அம்சங்கள்-ஹார்ட் ரேட் மொனிட்டர்,51,0.7000686341798216
சிறப்பு அம்சங்கள்-ஸ்டைலஸ்,30,0.41180507892930684
நெட்ஒர்க் & இணைப்பு-மொபைல் ஹை டெபினிஷன் லிங்க்,30,0.41180507892930684
நெட்ஒர்க் & இணைப்பு-சிம் 3,27,0.37062457103637614
சிறப்பு அம்சங்கள்-கருவிழி ஸ்கேனர்,15,0.20590253946465342
ஜெனரல்-ஆல்சோ க்நோவ்ன் அஸ்,12,0.16472203157172272
சிறப்பு அம்சங்கள்-பின்கேர்ப்ரின்ட் சென்சார் குஸ்டோமிசஷன்,4,0.0549073438572409
பெர்ஃபார்மன்ஸ்-துவக்க நேரம் (91 மொபைல் மூலம் சோதிக்கப்பட்டது),1,0.013726835964310225
